fiyat,genislik,toplam_hacim,yukseklik,derinlik
19.001 TL,70 cm,451-475 L,187 cm,72 cm
16.000 TL,70 cm,351-375 L,172 cm,65 cm
10.522 TL,55 cm,226-250 L,143 cm,55 cm
6.450 TL,45 cm,200 L ve altı,87 cm,52 cm
999 TL,31 cm,201-225 L,33 cm,30 cm ve altı
"5.181,91 TL",44 cm,200 L ve altı,101 cm,44 cm
5.949 TL,47 cm,201-225 L,86 cm,45 cm
29.999 TL,90 cm,551-575 L,176 cm,71 cm
25.900 TL,70 cm,451-475 L,186 cm,74 cm
1.999 TL,,200 L ve altı,,30 cm ve altı
"4.996,03 TL",44 cm,200 L ve altı,63 cm,51 cm
1.599 TL,31 cm,201-225 L,101 cm,30 cm ve altı
22.900 TL,70 cm,451-475 L,186 cm,74 cm
18.999 TL,70 cm,426-450 L,188 cm,66 cm
38.601 TL,84 cm,576-600 L,186 cm,75 cm
66.999 TL,69 cm,501-525 L,186 cm,70 cm
5.259 TL,47 cm,576-600 L,82 cm,50 cm
19.999 TL,70 cm,451-475 L,185 cm,64 cm
34.799 TL,77 cm,551-575 L,187 cm,72 cm
33.000 TL,79 cm,501-525 L,179 cm,72 cm
29.000 TL,70 cm,526-550 L,186 cm,80 cm
12.199 TL,60 cm,276-300 L,178 cm,55 cm
14.999 TL,54 cm,576-600 L,166 cm,63 cm
25.000 TL,70 cm,501-525 L,192 cm,74 cm
24.750 TL,70 cm,451-475 L,186 cm,71 cm
37.899 TL,70 cm,526-550 L,185 cm,70 cm
87.824 TL,84 cm,576-600 L,187 cm,74 cm
18.999 TL,70 cm,426-450 L,171 cm,71 cm
17.999 TL,70 cm,426-450 L,173 cm,71 cm
33.999 TL,70 cm,476-500 L,186 cm,80 cm
32.000 TL,70 cm,451-475 L,186 cm,74 cm
74.000 TL,70 cm,501-525 L,187 cm,70 cm
21.499 TL,70 cm,426-450 L,188 cm,66 cm
5.199 TL,45 cm,200 L ve altı,47 cm,49 cm
30.000 TL,70 cm,476-500 L,186 cm,80 cm
33.000 TL,76 cm,501-525 L,186 cm,75 cm
65.000 TL,91 cm,601+ L,178 cm,72 cm
22.998 TL,59 cm,326-350 L,185 cm,65 cm
99.800 TL,75 cm,576-600 L,188 cm,72 cm
